#Frame      Mode1    Mode2    Mode3
     395    0.659   -0.781    1.082
     396    1.214   -1.039   -0.169
     397    0.724   -1.945    1.410
     398    2.642   -0.825   -1.480
     399    0.742   -1.039   -0.116
     400    1.312    0.846   -1.612
     401    0.357    0.103   -1.256
     402   -0.274   -0.322   -0.345
     403    0.089    0.929   -2.183
     404    0.337   -1.217   -1.829
     405   -0.978    0.695   -0.005
     406   -0.987   -0.893   -2.011
     407   -0.470   -0.946   -2.009
     408    0.427   -1.581   -2.017
     409   -0.363   -1.777   -2.523
     410   -1.170   -1.200   -0.777
     411   -0.410    0.843    0.073
     412    1.040   -0.308    0.414
     413   -1.052   -1.846    0.131
     414   -0.235    0.031   -2.478
     415    2.575   -2.066   -1.971
     416    0.679   -2.050   -2.247
     417    0.387   -1.416   -0.766
     418   -1.101    0.410   -1.216
     419   -1.883    1.710   -1.204
     420   -2.625   -0.630   -0.464
     421   -1.524   -0.213   -0.304
     422   -0.188   -1.021   -0.440
     423   -1.514    0.759   -0.173
     424   -0.394   -1.063   -0.853
     425   -0.505   -0.930   -0.649
     426   -1.037   -0.068   -2.675
     427   -0.886   -1.360   -1.103
     428    0.229   -0.469    0.406
     429   -0.716    0.521   -1.295
     430    0.987   -1.752   -2.081
     431   -0.559   -0.306   -1.495
     432   -0.497   -1.315   -0.426
     433   -0.843    0.069   -1.107
     434   -1.772   -1.981    0.030
     435    0.761   -0.569   -1.473
     436    0.185   -1.000    0.740
     437    1.505   -0.573   -0.733
     438    1.369    1.323   -1.878
     439    2.802    0.041   -0.636
     440    0.365   -2.200   -0.228
     441    1.820   -2.369   -0.816
     442   -0.699   -0.873    2.261
     443    1.060   -0.580   -0.323
     444   -0.223    1.121    0.961
     445   -1.623    0.696   -0.121
     446    1.535    0.371   -1.413
     447   -1.700    0.545   -0.854
     448    0.758   -2.692    1.000
     449    0.406    0.858   -1.153
     450   -0.767   -0.884   -0.535
     451   -0.401   -0.011   -2.115
     452    1.885   -1.197   -2.361
     453   -1.365   -1.430    0.836
     454   -0.075   -0.815   -0.696
     455    1.660   -1.891   -1.394
     456   -0.046   -2.283    0.538
     457   -0.477   -0.270   -1.303
     458    0.181   -0.089   -0.095
     459   -1.630    0.119   -1.512
     460    1.429   -1.675   -1.038
     461   -2.090   -0.454   -1.403
     462   -0.267   -2.307   -2.180
     463   -1.067    0.761   -1.718
     464   -1.624   -0.428   -0.097
     465    0.612   -0.588   -1.736
     466   -0.010    0.798   -2.152
     467   -1.309   -0.564   -0.593
     468   -0.019   -0.374   -1.849
     469   -0.155   -2.727   -1.180
     470    0.793   -2.052   -1.156
     471    0.797   -2.610   -1.654
     472   -1.891   -2.527    1.039
     473   -2.423   -1.219   -1.070
     474   -1.474    0.366   -0.737
     475    0.285   -0.932   -1.198
     476    0.740   -0.380   -1.102
     477    1.283   -0.139   -2.130
     478    0.255   -0.297    0.232
     479    1.036   -0.561    0.178
     480    0.680   -1.817   -0.309
     481    0.491   -1.268   -2.167
     482    1.563   -0.900   -2.094
     483    0.701   -0.635    0.405
     484    0.949   -1.182   -1.958
     485    0.199    0.045   -0.873
     486    0.164   -1.466   -0.224
     487   -0.672   -1.831   -0.823
     488   -2.159   -1.623    0.481
     489    0.849   -2.039   -1.472
     490   -0.376   -1.122   -0.037
     491   -0.556   -3.016   -0.187
     492    0.308   -1.986   -2.016
     493   -0.474   -1.121    0.134
     494   -2.661   -2.291   -1.626
     495   -3.774   -0.106   -1.390
     496   -0.658    1.658   -1.080
     497   -1.029   -0.122   -0.904
     498    0.385   -1.487   -0.636
     499    0.969   -1.328   -1.624
     500    1.493   -2.574   -1.045
     501   -0.179   -2.076   -0.962
     502   -0.008    0.994   -0.922
     503    0.920   -0.463   -1.287
     504    0.913    0.150   -1.500
     505   -1.986   -1.344    0.723
     506   -0.589    0.453    1.841
     507    0.429   -0.216   -1.571
     508    0.052    0.331   -1.919
     509   -1.952   -1.581    0.277
     510    0.144    0.250    0.569
     511    0.814    0.472   -1.504
     512    1.386   -2.648   -1.411
     513    0.357   -0.330   -1.246
